/home/gena/Develop/comp_vision/dnn/openvino_dev//devices_detection/truck_learning/train_after_xmlbin/one_iter/export/cpp/model_beforeMO.xml
[ WARNING ] Automatically detected layout '[N,C,H,W]' for input 'image' will be used.

OPS_NAME

reconvert.cpp#251: nodes number=987,ordered=987
reconvert.cpp#255: friendly_name = Conv_175/WithoutBiases, ops_name = Convolution_458
reconvert.cpp#255: friendly_name = bbox_head.cls_convs.0.3.weight, ops_name = Constant_456
reconvert.cpp#255: friendly_name = Relu_174, ops_name = Relu_454
reconvert.cpp#255: friendly_name = Conv_173, ops_name = Add_452
reconvert.cpp#255: friendly_name = Reshape_4296, ops_name = Constant_450
reconvert.cpp#255: friendly_name = Conv_173/WithoutBiases, ops_name = GroupConvolution_448
reconvert.cpp#255: friendly_name = Reshape_4210, ops_name = Constant_446
reconvert.cpp#255: friendly_name = Unsqueeze_758, ops_name = Unsqueeze_2520
reconvert.cpp#255: friendly_name = Constant_6566, ops_name = Constant_2518
reconvert.cpp#255: friendly_name = Add_757, ops_name = Add_2516
reconvert.cpp#255: friendly_name = Unsqueeze_756, ops_name = Unsqueeze_2514
reconvert.cpp#255: friendly_name = Constant_6563, ops_name = Constant_2512
reconvert.cpp#255: friendly_name = Mul_755, ops_name = Multiply_2510
reconvert.cpp#255: friendly_name = Add_754, ops_name = Add_2508
reconvert.cpp#255: friendly_name = 1210, ops_name = Constant_2506
reconvert.cpp#255: friendly_name = ReduceMax_751, ops_name = ReduceMax_2504
reconvert.cpp#255: friendly_name = Constant_6558, ops_name = Constant_2502
